transaction_id,date,description,category,amount,payment_method,account,is_recurring,z_score,anomaly_flag
TX-000001,2025-04-13,Housing transaction 1,Housing,1582.37,Digital Wallet,Checking,False,-0.011508953207052036,False
TX-000002,2025-12-15,Utilities transaction 2,Utilities,206.85,Card,Credit,False,0.0216963011432358,False
TX-000003,2025-09-28,Food transaction 3,Food,86.68,Card,Credit,False,-0.18324231760724588,False
TX-000004,2025-04-17,Leisure transaction 4,Leisure,93.36,Card,Savings,False,-0.22990367334684134,False
TX-000005,2025-03-13,Health transaction 5,Health,199.43,Cash,Credit,False,-0.16259290184935904,False
TX-000006,2025-07-08,Leisure transaction 6,Leisure,97.14,Card,Checking,False,-0.2090044488638713,False
TX-000007,2025-01-21,Utilities transaction 7,Utilities,240.5,Card,Checking,False,0.14443998247576254,False
TX-000008,2025-04-13,Food transaction 8,Food,31.28,Card,Savings,False,-0.7954159881363221,False
TX-000009,2025-05-02,Education transaction 9,Education,144.51,Transfer,Credit,False,-0.3384397727225704,False
TX-000010,2025-08-03,Housing transaction 10,Housing,888.83,Card,Checking,True,-0.3386924068055582,False
TX-000011,2025-11-27,Housing transaction 11,Housing,1019.95,Cash,Checking,True,-0.27683542027870156,False
TX-000012,2025-03-29,Leisure transaction 12,Leisure,120.3,Transfer,Credit,False,-0.08095523219043585,False
TX-000013,2025-04-10,Utilities transaction 13,Utilities,57.81,Card,Credit,True,-0.5219506012579463,False
TX-000014,2025-12-26,Health transaction 14,Health,133.55,Card,Savings,True,-0.30905773156850097,False
TX-000015,2025-06-01,Housing transaction 15,Housing,1075.78,Unknown,Checking,True,-0.25049713811126406,False
TX-000016,2025-05-11,Food transaction 16,Food,35.96,Cash,Credit,False,-0.7437016780627466,False
TX-000017,2025-05-30,Utilities transaction 17,Utilities,224.31,Card,Credit,True,0.0853844044438574,False
TX-000018,2025-11-05,Food transaction 18,Food,14.55,Card,Savings,False,-0.980283596583099,False
TX-000019,2025-09-15,Health transaction 19,Health,266.09,Card,Credit,False,-0.01439397123190309,False
TX-000020,2025-12-10,Health transaction 20,Health,297.77,Cash,Credit,False,0.05603720371500671,False
TX-000021,2025-10-21,Transport transaction 21,Transport,34.01,Card,Credit,False,-0.32496178608892057,False
TX-000022,2025-07-11,Food transaction 22,Food,15.22,Card,Credit,True,-0.972880052192224,False
TX-000023,2025-10-04,Food transaction 23,Food,70.55,Transfer,Savings,False,-0.3614798863010005,False
TX-000024,2025-06-10,Food transaction 24,Food,24.96,Digital Wallet,Savings,False,-0.8652524068681589,False
TX-000025,2025-11-10,Utilities transaction 25,Utilities,59.36,Transfer,Checking,False,-0.5162967318354971,False
TX-000026,2025-01-22,Food transaction 26,Food,51.73,Cash,Savings,True,-0.5694421332208057,False
TX-000027,2025-09-10,Utilities transaction 27,Utilities,112.16,Card,Credit,False,-0.32370040570303327,False
TX-000028,2025-08-24,Housing transaction 28,Housing,1447.95,Card,Credit,False,-0.07492274308609456,False
TX-000029,2025-12-11,Education transaction 29,Education,447.39,Card,Checking,False,0.032624820837514036,False
TX-000030,2025-02-18,Food transaction 30,Food,109.96,Card,Savings,False,0.07400322481002639,False
TX-000031,2025-02-28,Housing transaction 31,Housing,837.38,Unknown,Checking,False,-0.36296438634191247,False
TX-000032,2025-06-19,Housing transaction 32,Housing,875.34,Card,Savings,False,-0.34505643020585786,False
TX-000033,2025-07-07,Leisure transaction 33,Leisure,194.54,Card,Savings,False,0.3295099597713883,False
TX-000034,2025-09-28,Leisure transaction 34,Leisure,127.25,Digital Wallet,Checking,True,-0.04252940939767347,False
TX-000035,2025-07-09,Health transaction 35,Health,367.32,Card,Savings,False,0.21066120048134435,False
TX-000036,2025-06-24,Housing transaction 36,Housing,1194.47,Card,Checking,False,-0.19450411087764133,False
TX-000037,2025-02-20,Housing transaction 37,Housing,1583.04,Card,Checking,False,-0.011192874950699089,False
TX-000038,2025-12-30,Transport transaction 38,Transport,75.69,Cash,Credit,True,-0.10093655167820494,False
TX-000039,2025-02-24,Food transaction 39,Food,62.89,Cash,Checking,True,-0.4461233938145875,False
TX-000040,2025-09-01,Transport transaction 40,Transport,68.44,Card,Checking,False,-0.1399044727309326,False
TX-000041,2025-11-16,Education transaction 41,Education,336.57,Card,Checking,False,-0.10314306828797645,False
TX-000042,2025-05-11,Education transaction 42,Education,146.49,Transfer,Checking,False,-0.3360140335015952,False
TX-000043,2025-11-03,Utilities transaction 43,Utilities,117.93,Transfer,Credit,False,-0.30265342082075447,False
TX-000044,2025-05-15,Health transaction 44,Health,335.52,Digital Wallet,Savings,True,0.13996324078084776,False
TX-000045,2025-01-21,Food transaction 45,Food,165.52,Unknown,Credit,False,0.6879449059399086,False
TX-000046,2025-11-25,Food transaction 46,Food,69.88,Cash,Checking,False,-0.36888343069187557,False
TX-000047,2025-06-16,Transport transaction 47,Transport,46.44,Card,Checking,False,-0.25815195730472684,False
TX-000048,2025-10-01,Utilities transaction 48,Utilities,82.58,Card,Checking,False,-0.4315981202295159,False
TX-000049,2025-03-30,Housing transaction 49,Housing,1685.59,Card,Credit,False,0.03718596861495941,False
TX-000050,2025-11-12,Food transaction 50,Food,63.57,Cash,Savings,False,-0.438609348761162,False
TX-000051,2025-01-14,Housing transaction 51,Housing,2180.4,Transfer,Credit,False,0.27061683731045916,True
